name,brewery,type,ABV,IBU,rating,country
IPA Is Dead Citra,BrewDog,IPA - American,7.2,75,5,Scotland
Dead Pony Club,BrewDog,Pale Ale - American,3.8,25,5,Scotland
Five AM Saint,BrewDog,Red Ale - American Amber / Red,5,25,5,Scotland
Anchor Steam Beer,Anchor Brewing Company,California Common,4.8,35,4.5,United States
Crafty Dan Triple C,Thwaites Brewery,Golden Ale,5.3,32,4.5,England
AKA IPA,Cromarty Brewing Co.,IPA - American,6.7,60,4.5,Scotland
Llop,Beer Lovers,IPA - American,5.5,50,4.5,Spain
Hello My Name Is Ingrid,BrewDog,IPA - Imperial / Double,8.2,60,4.5,Scotland
Hello My Name Is Vladimir,BrewDog,IPA - Imperial / Double,8.2,70,4.5,Scotland
DirtWolf,Victory Brewing Company,IPA - Imperial / Double,8.7,65,4.5,United States
Stone Enjoy By 08.16.14 IPA,Stone Brewing,IPA - Imperial / Double,9.4,88,4.5,United States
Hello My Name Is Påivi,BrewDog,IPA - Imperial / Double,8.2,70,4.5,Scotland
Born To Die 04.07.2015,BrewDog,IPA - Imperial / Double,8.5,100,4.5,Scotland
Illegal Mikkeller,Mikkeller,Lager - Euro,4.8,0,4.5,Denmark
Broll,Beer Lovers,Pale Ale - American,5,33,4.5,Spain
Tai Nui Pacific Pale Ale,GrÌ_nerlÌükka Brygghus,Pale Ale - New Zealand,5.5,34,4.5,Norway
Thursday's Premium Red Ale,Septem Microbrewery,Red Ale - Irish,4.5,0,4.5,Greece
IPA Is Dead Pioneer,BrewDog,IPA - American,7.2,75,4.25,Scotland
LÌükka IPA,GrÌ_nerlÌükka Brygghus,IPA - American,7,72,4.25,Norway
Shoreditch Blonde,Redchurch Brewery ,Blonde Ale,4.5,0,4,England
Triporteur From Heaven,BOMBrewery,Blonde Ale - Belgian Blonde / Golden,6.2,28,4,Belgium
"Voodoo Doughnut Pretzel, Raspberry & Chocolate Ale",Rogue Ales & Spirits,Brown Ale - American,5.4,31,4,United States
Op & Top,Brouwerij De Molen,English Bitter,4.5,38,4,Netherlands
Vagabond Pale Ale,BrewDog,Gluten-Free,4.5,55,4,Scotland
Birds & Bees,Williams Brothers Brewing Co.,Golden Ale,4.3,0,4,Scotland
Citra,Oakham Ales,Golden Ale,4.2,0,4,England
Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,Hefeweizen,5.4,14,4,Germany
IPA,Odell Brewing Co.,IPA - American,7,60,4,United States
Snake Dog IPA,Flying Dog Brewery,IPA - American,7.1,60,4,United States
Punk IPA,BrewDog,IPA - American,5.6,45,4,Scotland
Madness IPA,The Wild Beer Co,IPA - American,6.8,72,4,England
Hop Series Citra,Mikkeller,IPA - American,6.8,88,4,Denmark
Hop Series Simcoe,Mikkeller,IPA - American,6.8,102,4,Denmark
Hop Series Magnum,Mikkeller,IPA - American,6.8,102,4,Denmark
Hop Series Bravo,Mikkeller,IPA - American,6.8,102,4,Denmark
Centennial IPA,Founders Brewing Co.,IPA - American,7.2,65,4,United States
Hoppy Christmas,BrewDog,IPA - American,7.2,66,4,Scotland
Hoppy Lovin' Christmas,Mikkeller,IPA - American,7.8,66,4,Denmark
India Pale Ale Citra,The Kernel Brewery,IPA - American,6.6,0,4,England
Single-Wide I.P.A.,Boulevard Brewing Co.,IPA - American,5.7,57,4,United States
India Pale Ale (IPA),NÌügne Ì÷,IPA - American,7.5,60,4,Norway
Galaxy IPA,Lervig ,IPA - American,6.5,100,4,Norway
Fyr & Flamme,HaandBryggeriet,IPA - American,6.5,66,4,Norway
Deviant Dale's,Oskar Blues Brewery,IPA - American,8,85,4,United States
Jack Hammer,BrewDog,IPA - American,7.2,250,4,Scotland
IPA Is Dead Chinook,BrewDog,IPA - American,7.2,75,4,Scotland
Hello My Name Is Little Ingrid,BrewDog,IPA - American,4.4,60,4,Scotland
Hello My Name Is Holy Moose,BrewDog,IPA - American,5.5,38,4,Scotland
Jiang Shi,Sixå¼North,IPA - Belgian,8,0,4,Scotland
Joker IPA,Williams Brothers Brewing Co.,IPA - English,5,30,4,Scotland
Tui East India Pale Ale,Tui Breweries Ltd. (DB Breweries),IPA - English,4,0,4,New Zealand
White Shield,Worthington's,IPA - English,5.6,0,4,England
DNA New World IPA,Charles Wells Brewery,IPA - English,4.5,37,4,England
Jaipur,Thornbridge Brewery,IPA - English,5.9,55,4,England
Hello My Name is Mette Marit,BrewDog,IPA - Imperial / Double,8.2,60,4,Scotland
Hop Burn High,Mikkeller,IPA - Imperial / Double,10,300,4,Denmark
Hello My Name Is Sonja,BrewDog,IPA - Imperial / Double,8.2,60,4,Scotland
Double IPA No.6,Harbour Brewing Co,IPA - Imperial / Double,9.3,0,4,England
Two Captains Double IPA,NÌügne Ì÷,IPA - Imperial / Double,8.5,100,4,Norway
Polaris,Mikkeller,IPA - Imperial / Double,8.9,0,4,Denmark
Konnichiwa Kitsune,BrewDog,IPA - Imperial / Double,8.2,70,4,Scotland
Molotov Lite,Evil Twin Brewing,IPA - Imperial / Double,8.5,90,4,United States
Stone 19th Anniversary Thunderstruck IPA,Stone Brewing,IPA - Imperial / Double,8.7,95,4,United States
All Day IPA,Founders Brewing Co.,IPA - Session / India Session Ale,4.7,42,4,United States
Johnny Low,Lervig ,IPA - Session / India Session Ale,2.5,30,4,Norway
FanÌü Havgus,FanÌü Bryghus,IPA - Session / India Session Ale,2.7,0,4,Denmark
Session IPA,Fourpure Brewing Co,IPA - Session / India Session Ale,4.2,40,4,England
AM:PM,Thornbridge Brewery,IPA - Session / India Session Ale,4.5,0,4,England
White Whale,Oersoep,IPA - White,6.5,0,4,Netherlands
The Hindu-German Conspiracy,Schouskjelleren Mikrobryggeri,Lager - IPL (India Pale Lager),6.6,67,4,Norway
Total Hubris,To Ì÷l,Lager - Pale,4.5,0,4,Denmark
Murree Beer,Murree Brewery,Lager - Pale,4.5,0,4,Pakistan
Brooklyn Lager,Brooklyn Brewery,Lager - Vienna,5.2,33,4,United States
Nanny State,BrewDog,Non-Alcoholic,0.5,45,4,Scotland
Pale Ale Centennial,The Kernel Brewery,Pale Ale - American,5.2,0,4,England
Phoenix Pale Ale,Sly Fox Brewing Company,Pale Ale - American,5.1,40,4,United States
Fire Rock,Kona Brewing Company,Pale Ale - American,5.8,35,4,United States
Stone Pale Ale,Stone Brewing,Pale Ale - American,5.4,41,4,United States
Lompa APA,Schouskjelleren Mikrobryggeri,Pale Ale - American,4.7,0,4,Norway
American Pale Ale,Tap It Brewing Co.,Pale Ale - American,6.5,40,4,United States
Fanta-stic,Dugges Bryggeri,Pale Ale - American,5,0,4,Sweden
Hop & Liefde,Brouwerij De Molen,Pale Ale - American,4.8,57,4,Netherlands
Twin Peaks,Thornbridge Brewery,Pale Ale - American,5,0,4,England
Pale Ale,Boulevard Brewing Co.,Pale Ale - American,5.4,30,4,United States
Punk Pale Ale,BrewDog,Pale Ale - American,4.6,45,4,Scotland
LIVE Dead Pony Club,BrewDog,Pale Ale - American,3.8,40,4,Scotland
Hit The Lip,Cromarty Brewing Co.,Pale Ale - English,3.8,30,4,Scotland
Helping Hand,Mikkeller,Pilsner - Other,5.6,0,4,Denmark
Experimental Porter,Beer Lovers,Porter - Other,5.5,30,4,Spain
Bram,Beer Lovers,Red Ale - American Amber / Red,5.5,25,4,Spain
Alpha POP,BrewDog,Rye Beer,4.5,30,4,Scotland
Rose Wheat Beer,The Ticketybrew Company,Witbier,4.3,0,4,England
Blat,Beer Lovers,Witbier,4.5,15,4,Spain
Dorothy Goodbody's Golden Ale,Wye Valley Brewery,Golden Ale,4.2,0,4,England
Elvis Juice V2.0,BrewDog,IPA - American,6.5,50,4,Scotland
Great White,Lost Coast Brewery,Witbier,4.8,11,4,United States
Gear Up IPA,Hopworks Urban Brewery,IPA - American,6.6,76,3.75,United States
Evo IPA,Two Beers Brewing Co. ,IPA - American,6.2,70,3.75,United States
GUBNA Imperial IPA,Oskar Blues Brewery,IPA - Imperial / Double,10,100,3.75,United States
Inhaler,Magic Rock Brewing,IPA - Session / India Session Ale,4.5,0,3.75,England
Pale Hops,Beer Here,Pale Ale - American,5.5,40,3.75,Denmark
Ben Simcoe Single Hop Pale,Omnipollo,Pale Ale - American,5.9,0,3.75,Sweden
Miami Vice,Ugly Duck Brewing Co.,Pale Ale - American,4.8,0,3.75,Denmark
Czech Norris,BrewFist,Pilsner - Imperial / Double,6.7,46,3.75,Italy
Tigerstaden Saison,Schouskjelleren Mikrobryggeri,Saison / Farmhouse Ale,7,0,3.75,Norway
Hitachino Nest Red Rice Ale,Kiuchi Brewery,Specialty Grain,7,17,3.75,Japan
Jarl,Fyne Ales,Blonde Ale,3.8,40,3.5,Scotland
Maes,Sixå¼North,Blonde Ale - Belgian Blonde / Golden,4.6,0,3.5,Scotland
Blondie,HaandBryggeriet,Blonde Ale - Belgian Blonde / Golden,4.5,0,3.5,Norway
#MashTag 2013,BrewDog,Brown Ale - American,7.5,95,3.5,Scotland
I Wish Gluten Free IPA,Mikkeller,Gluten-Free,5.5,0,3.5,Denmark
ThreeOneSix,Grain Brewery,Golden Ale,3.9,0,3.5,England
02|14 Pacifica Wai-iti,Brew By Numbers,Golden Ale,5.5,0,3.5,England
